screen_name,fav,rt,tweet,truncated,tweet_url
realDonaldTrump,65514,23695,The Radical Left Dems went after me for using the words “drug-infested” concerning Baltimore. Take a look at Elijah… https://t.co/Z11wCzzgGB,True,https://twitter.com/realDonaldTrump/status/1156685887268380676
realDonaldTrump,70036,20577,The cages for kids were built by the Obama Administration in 2014. He had the policy of child separation. I ended i… https://t.co/WMAfEMjwvv,True,https://twitter.com/realDonaldTrump/status/1156742970105892864
realDonaldTrump,33675,8872,"Experts stated that the Fed should not have tightened, and then waited too long to undo their mistake. James Bullar… https://t.co/UKa9el1lWR",True,https://twitter.com/realDonaldTrump/status/1156720638377308160
AsheSchow,21488,8734,"Kirsten Gillibrand: “The first thing I would do is Clorox the Oval Office.”

Also Gillibrand: https://t.co/XgsItyXx0W",False,https://twitter.com/AsheSchow/status/1156742931220295680
AOC,18824,5131,"This is huge problem for many communities, from PR to WV.

“Coal waste” is a nice word for ash. It piles up in moun… https://t.co/q5PddkfFeQ",True,https://twitter.com/AOC/status/1156703819927052293
DanCrenshawTX,40412,8752,"More debates tonight! What’s the next radically bad idea?

4 hr work days are a human right?

Ban ambition and pers… https://t.co/yxYgAhZ8VW",True,https://twitter.com/DanCrenshawTX/status/1156684061957509120
charliekirk11,17868,9344,RT if you think CNN should ask Joe Biden about Hunter Biden's billion dollar deal with China while he was Vice Pres… https://t.co/XMGDTUpqHA,True,https://twitter.com/charliekirk11/status/1156719566002593792
JoyceWhiteVance,33889,8031,"With all due respect, if you’re a Democrat &amp; you can win a Senate seat that would otherwise go to the GOP, that should be your race.",False,https://twitter.com/JoyceWhiteVance/status/1156739205881577473
realDonaldTrump,69933,13646,Very low ratings for the Democratic Debate last night — they’re desperate for Trump!,False,https://twitter.com/realDonaldTrump/status/1156702703239737346
halsey,56610,11302,"you know,
the good die young,
but so did this,
so it must be better 
than we think it is.",False,https://twitter.com/halsey/status/1156745085070897153
MariaBartiromo,9849,4010,I know one thing we are NOT as Americans we are not happy about wiretapping innocent Americans bc people in positio… https://t.co/6hy6BPMh8i,True,https://twitter.com/MariaBartiromo/status/1156714264532529152
AndrewYang,21077,4357,"I’ve done the MATH. In 2014, immigrants paid over $328 billion in taxes. Scapegoating them for problems they have n… https://t.co/jyePjL51bG",True,https://twitter.com/AndrewYang/status/1156740066745696256
SaraCarterDC,5993,3253,The more documents obtained the more we know about what happened with the FBI's investigation into Trump. @Comey th… https://t.co/gmPJww8ifX,True,https://twitter.com/SaraCarterDC/status/1156690808042598402
RudyGiuliani,7043,2679,Once again Biden slurred his words and didn’t seem to answer his opponents effectively. I seem to be on his mind be… https://t.co/ednsEBtef5,True,https://twitter.com/RudyGiuliani/status/1156770694576967685
Pastor__West,7012,2884,We all have unexpected setbacks. Here’s the good news: that disappointment is not the final chapter. God never ends… https://t.co/gw9DZqwI1k,True,https://twitter.com/Pastor__West/status/1156731546625290240
ChrisEvans,355931,59434,"Wow. The complete lack of sympathy, respect, and general awareness is astonishing. Also, I would carry my kid throu… https://t.co/sM1rqXb4Cp",True,https://twitter.com/ChrisEvans/status/1156649642844725249
realDonaldTrump,56126,13062,What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy… https://t.co/TLR23NXwAz,True,https://twitter.com/realDonaldTrump/status/1156666163310530560
realDonaldTrump,70083,20590,The cages for kids were built by the Obama Administration in 2014. He had the policy of child separation. I ended i… https://t.co/WMAfEMjwvv,True,https://twitter.com/realDonaldTrump/status/1156742970105892864
RealCandaceO,61722,17844,PSA: Bullying people into issuing public statements of apology so that they can keep their careers— because they st… https://t.co/HNIE9HAWiJ,True,https://twitter.com/RealCandaceO/status/1156634286147043328
JoyAnnReid,17881,5969,"Every day, Trump; is making the presidency smaller, more corrupt and more irrelevant to the moral life of this coun… https://t.co/HghLNe1TYN",True,https://twitter.com/JoyAnnReid/status/1156681426726727680
realDonaldTrump,33690,8875,"Experts stated that the Fed should not have tightened, and then waited too long to undo their mistake. James Bullar… https://t.co/UKa9el1lWR",True,https://twitter.com/realDonaldTrump/status/1156720638377308160
BarstoolBigCat,2516,5401,Giving away all of my VERY REAL #Madden20 Madden Codes at 830 eastern. Do these 3 things and I’ll pick winners then… https://t.co/uR4x4zHVjX,True,https://twitter.com/BarstoolBigCat/status/1156705296695398405
RepJoeKennedy,21449,6836,Our President is a gruesome iteration of the schoolyard bully -- taking lunch money from kids who can't fight back. https://t.co/s0ocSObrMA,False,https://twitter.com/RepJoeKennedy/status/1156626509446156288
RyanAFournier,18144,5850,"BREAKING: In a rare move, the Federal Reserve has just cut interest rates for the first time since 2008 because of… https://t.co/7XevsCpte5",True,https://twitter.com/RyanAFournier/status/1156629583489355777
thecjpearson,10798,4806,"I’m so close to 300,000 followers! For my birthday, can you guys help me close the gap? 

I’m a young black man who… https://t.co/Sc4g4gFTY4",True,https://twitter.com/thecjpearson/status/1156653320527912961
NatashaBertrand,20247,12665,NEW: Two former top staffers to Mitch McConnell have lobbied Congress and Treasury on the development of a new Kent… https://t.co/CzfrDamFY9,True,https://twitter.com/NatashaBertrand/status/1156627207965593601
PrisonPlanet,35713,13488,"Barack Obama, Prince Harry, Leonardo DiCaprio, Katy Perry &amp; over a hundred others have flown to Italy to discuss 'g… https://t.co/UUgUiMBovQ",True,https://twitter.com/PrisonPlanet/status/1156664391741444096
nytimes,3574,2723,Exclusive: Jeffrey Epstein once spoke to scientists and others of a plan to seed the human race with his DNA by imp… https://t.co/vrTeHdORHo,True,https://twitter.com/nytimes/status/1156645612370223104
realDonaldTrump,56145,13063,What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy… https://t.co/TLR23NXwAz,True,https://twitter.com/realDonaldTrump/status/1156666163310530560
w_terrence,36908,9687,"Hollywood bullies made Mario Lopez apologized for saying a 3 years old Shouldn’t be a transgender

At 3 I didn’t kn… https://t.co/G1lt6MfRbv",True,https://twitter.com/w_terrence/status/1156682354280357889
realDonaldTrump,70139,20601,The cages for kids were built by the Obama Administration in 2014. He had the policy of child separation. I ended i… https://t.co/WMAfEMjwvv,True,https://twitter.com/realDonaldTrump/status/1156742970105892864
realDonaldTrump,33699,8877,"Experts stated that the Fed should not have tightened, and then waited too long to undo their mistake. James Bullar… https://t.co/UKa9el1lWR",True,https://twitter.com/realDonaldTrump/status/1156720638377308160
AOC,18849,5135,"This is huge problem for many communities, from PR to WV.

“Coal waste” is a nice word for ash. It piles up in moun… https://t.co/q5PddkfFeQ",True,https://twitter.com/AOC/status/1156703819927052293
JoyAnnReid,17891,5970,"Every day, Trump; is making the presidency smaller, more corrupt and more irrelevant to the moral life of this coun… https://t.co/HghLNe1TYN",True,https://twitter.com/JoyAnnReid/status/1156681426726727680
JoyceWhiteVance,33937,8040,"With all due respect, if you’re a Democrat &amp; you can win a Senate seat that would otherwise go to the GOP, that should be your race.",False,https://twitter.com/JoyceWhiteVance/status/1156739205881577473
RyanAFournier,17435,4750,"Children shouldn’t be deciding if they want to be a boy or a girl.

God already did that for them.",False,https://twitter.com/RyanAFournier/status/1156719742461386752
DanCrenshawTX,40447,8760,"More debates tonight! What’s the next radically bad idea?

4 hr work days are a human right?

Ban ambition and pers… https://t.co/yxYgAhZ8VW",True,https://twitter.com/DanCrenshawTX/status/1156684061957509120
MoneyBaggYo,9133,7341,U gotta love me to understand me,False,https://twitter.com/MoneyBaggYo/status/1156775159849574400
BrotherNature,57394,12903,Out here trying to make peace in the monkey community 😂 https://t.co/EbkX8xLJb9,False,https://twitter.com/BrotherNature/status/1156670059516850177
realDonaldTrump,59296,15486,"Thank you Bill, say hello to our GREAT VETERANS! https://t.co/toDqIAIQ54",False,https://twitter.com/realDonaldTrump/status/1156696858183589889
allkpop,16377,5575,[BREAKING] Lee Jong Suk revealed to be dating former Hello Venus member Nara https://t.co/7JWZBZtWjL https://t.co/9XwE0jQWsV,False,https://twitter.com/allkpop/status/1156676754800594945
RudyGiuliani,7070,2690,Once again Biden slurred his words and didn’t seem to answer his opponents effectively. I seem to be on his mind be… https://t.co/ednsEBtef5,True,https://twitter.com/RudyGiuliani/status/1156770694576967685
ChrisEvans,356289,59490,"Wow. The complete lack of sympathy, respect, and general awareness is astonishing. Also, I would carry my kid throu… https://t.co/sM1rqXb4Cp",True,https://twitter.com/ChrisEvans/status/1156649642844725249
realDonaldTrump,56166,13068,What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy… https://t.co/TLR23NXwAz,True,https://twitter.com/realDonaldTrump/status/1156666163310530560
RoKhanna,41621,9463,"When students attend public colleges and universities, here’s what they pay on average: 

🇩🇰 Denmark: $0
🇪🇪 Estonia… https://t.co/g8RAYBuwg0",True,https://twitter.com/RoKhanna/status/1156656527119388675
w_terrence,36924,9690,"Hollywood bullies made Mario Lopez apologized for saying a 3 years old Shouldn’t be a transgender

At 3 I didn’t kn… https://t.co/G1lt6MfRbv",True,https://twitter.com/w_terrence/status/1156682354280357889
JoyAnnReid,17899,5971,"Every day, Trump; is making the presidency smaller, more corrupt and more irrelevant to the moral life of this coun… https://t.co/HghLNe1TYN",True,https://twitter.com/JoyAnnReid/status/1156681426726727680
