screen_name,fav,rt,tweet,tweet_url
realDonaldTrump,68686,13464,"...to ripoff the USA, even bigger and better than ever before. The problem with them waiting, however, is that if &amp;… https://t.co/m8Ll0r8jP1",https://twitter.com/realDonaldTrump/status/1156160014173822977
JacksonWang852,64301,28238,"First goal out of my life bucket list
officially CHECKED ✔️
【 Madame Tussauds Hong Kong 】
-JACKSON WANG-
This achie… https://t.co/lFw4sKxVZx",https://twitter.com/JacksonWang852/status/1156124306377592832
muftimenk,19974,8445,"As humans, we tend to compare. Don’t think of others who seem to  have a better life. The trouble is we see perfect… https://t.co/26a5K1H7Q5",https://twitter.com/muftimenk/status/1155757413519241216
AmyMcGrathKY,9682,3145,"We deserve better than Mitch McConnell. As a veteran, I take our security—especially the security of our elections—… https://t.co/h8tOBXnHWw",https://twitter.com/AmyMcGrathKY/status/1156208436897562624
sterling7,36029,3061,My boy gotta better touch than me already smh 😒 https://t.co/lSDWJntU3Q,https://twitter.com/sterling7/status/1155843779540267009
DiamondandSilk,28110,9059,"Kamala, please stop the lies!  Al Sharpton has spent his life exploiting the pain of black people.  He became a mil… https://t.co/95ke5zStOi",https://twitter.com/DiamondandSilk/status/1155996088949567496
unkonfined,8565,4250,People want to see you do good but never better than them.,https://twitter.com/unkonfined/status/1155961312012206081
_angeldei,13997,5153,"If you keep on going back to people who disrespect you, lie to you and cheat on you, then don’t expect that your li… https://t.co/bKUuQaqRJz",https://twitter.com/_angeldei/status/1156139032327282689
JoelOsteen,22482,5496,"If you’re not giving anything away, nothing new is going to come. Whether or not you keep the blessing depends on w… https://t.co/OH0hpEDpSo",https://twitter.com/JoelOsteen/status/1155798884138045449
Sibi_Sathyaraj,21552,8269,Disgusting to see some idiots trending a negative hashtag!History has proven that it only makes a person stronger.B… https://t.co/RIvXlS3eHM,https://twitter.com/Sibi_Sathyaraj/status/1155761500230803457
IanDunt,6322,1908,"There's literally nothing in Truss' lever-arch file when she goes to meet the US ambassador about a US trade deal,… https://t.co/6h9OMHmDc8",https://twitter.com/IanDunt/status/1156133713459257344
BleacherReport,22217,3466,"Carmelo’s trainer Chris Brickley says Melo is better than 70 percent of NBA players and wants one more ""farewell se… https://t.co/geT8CjzvYc",https://twitter.com/BleacherReport/status/1155938797453844480
MrAndyNgo,6308,2742,"""America better wake up to this."" My attorney, @pnjaban, appeared on Fox Business to talk about #antifa's goal to d… https://t.co/cfkkbTZYsh",https://twitter.com/MrAndyNgo/status/1156137629370310657
kurteichenwald,7853,3342,"Armed police were all over the Gilroy Garlic Festival. Everyone knew it. hey got to the shooter in 60 seconds. 

60… https://t.co/tZqezBqkO4",https://twitter.com/kurteichenwald/status/1155971378270502913
jalenramsey,18576,3822,"Extremely blessed 🙏🏾🙏🏾.. BUT On my daughter, 26 players ain’t better than me lol https://t.co/MdIuZhzIwr",https://twitter.com/jalenramsey/status/1156016795335086091
realDonaldTrump,108438,26266,"Al Sharpton would always ask me to go to his events. He would say, “it’s a personal favor to me.” Seldom, but somet… https://t.co/9nb3XmdMyG",https://twitter.com/realDonaldTrump/status/1155801677485789184
tonyhawk,486306,48418,"Kid at skatepark: 
“Are you Tony Hawk?”
me: I am
him: “no you’re not”
me: ok, I’m not
him: “but are you, FOR REAL?”… https://t.co/bvVoSu9iye",https://twitter.com/tonyhawk/status/1155837410871250947
codyko,134098,17168,if this baby doesn’t stop staring at me im gonna vape in its stupid face,https://twitter.com/codyko/status/1156203162509799424
JulianCastro,35495,16779,"“I can’t breathe!”

“Help me!”

“You’re choking him!”

How many of these videos do we have to see before we do some… https://t.co/Y2uj5IpGzj",https://twitter.com/JulianCastro/status/1155862004701302785
realDonaldTrump,74381,15945,Wow! Morning Joe &amp; Psycho ratings have really crashed. Very small audience. People are tired of hearing Fake News d… https://t.co/UtIc2v8yIw,https://twitter.com/realDonaldTrump/status/1156175364802142209
realDonaldTrump,91676,26495,"I have known Al for 25 years. Went to fights with him &amp; Don King, always got along well. He “loved Trump!” He would… https://t.co/FXgML5zDtu",https://twitter.com/realDonaldTrump/status/1155787721576779776
TheRevAl,126053,24542,Trump says I’m a troublemaker &amp; con man. I do make trouble for bigots. If he really thought I was a con man he would want me in his cabinet.,https://twitter.com/TheRevAl/status/1155810975599271937
LilNasX,208838,25552,CANT NOBODY TELL ME NOTHINNNNNNNNNN 😤,https://twitter.com/LilNasX/status/1155917037027221504
youngthug,43066,5818,My brada @21savage called me at 4am and told me I should drop THE LONDON video so it’s comin out shortly,https://twitter.com/youngthug/status/1155961463799812097
ScottPresler,12661,4821,"“I’m so tired of people saying, ‘We should do this, we should do that’ … I was just like, ‘I’ve had, it. I’m going… https://t.co/8uXmKqkAT9",https://twitter.com/ScottPresler/status/1156165502202470400
realDonaldTrump,64976,13504,"Just reminded my staff that Morning Joe &amp; Psycho were with me in my room, at their request, the night I won New Ham… https://t.co/h5j349ZkGv",https://twitter.com/realDonaldTrump/status/1156200908537118720
LilNasX,186905,15104,wowwww thank you so much mariah! you are a legend and an icon and i’m blessed to even have you acknowledging me rig… https://t.co/dGBGMDRZWs,https://twitter.com/LilNasX/status/1156021809784901638
davidyelland,15929,5697,I’ve been shocked at two dinners recently when Tories of influence have told me privately “Varadkar isn’t bright” a… https://t.co/we2Y2Znxbl,https://twitter.com/davidyelland/status/1155890580884512770
